id;street;city;state;zip
1;Schmidt Drive;Sioux City;rightfully;through
2;Constantin Dale;Dorrisberg;unscramble upset;circa psst
3;Elva Club;East Cullen;keenly;knottily pillory catalog
4;N Elm Street;Lake Joshuastad;poorly;bah so
5;Bauch Spurs;East Kenyatta;though airbrush ah;tuber
6;River Street;North Alenaboro;although;till if
7;Pauline Pine;West Bria;at daily;monthly word
8;Mattie Ridges;Lake Damon;reclassify to upon;gently
9;Jordane Cliff;West Mona;blaspheme phew;defrag hello
10;The Willows;Fishers;yippee after rear;signature which
